,0
0,-2341
1,-1712
2,-1197
3,-792
4,-1379
5,-423
6,-1388
7,-1750
8,-359
9,-2157
10,-758
11,-1801
12,-2425
13,-937
14,-1314
15,-998
16,-1329
17,-1219
18,-1976
19,-426
20,-563
21,-1070
22,-429
23,-1150
24,-1826
25,-2148
26,-1155
27,-1551
28,-2391
29,-1123
30,-1020
31,-1112
32,-1026
33,-1754
34,-379
35,-2104
36,-1982
37,-1807
38,-1550
39,-784
40,-223
41,-1581
42,-2982
43,-2393
44,-1890
45,-2216
46,-2209
47,-1774
48,-1185
49,-1722
50,-1142
51,96
52,-177
53,-1151
54,-1080
55,-1230
56,-1339
57,-1166
58,-361
59,-736
60,-1605
61,17
62,-2142
63,-1143
64,-1611
65,-904
66,-557
67,-883
68,-798
69,-1207
70,-1758
71,-1381
72,-734
73,-1631
74,-347
75,-2191
76,-1599
77,-1749
78,-261
79,-3142
80,-1763
81,-1194
82,-2006
83,-2137
84,-1484
85,-924
86,-935
87,-740
88,-1505
89,-1072
90,-1494
91,-1608
92,-2208
93,-1157
94,-296
95,-2305
96,-1951
97,-144
98,-1510
99,-1308
