,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399
10,34,26,31,24,26,38,20,34,31,30,20,38,26,34,20,20,30,38,20,20,20,20,26,31,20,24,26,30,31,20,20,30,26,30,20,30,31,24,31,24,31,31,31,31,26,27,20,38,31,30,26,20,20,31,31,20,24,26,38,26,38,34,20,38,20,27,20,38,34,38,31,20,27,34,34,20,24,38,20,31,26,26,34,31,30,20,20,24,26,34,30,20,24,24,34,24,20,20,20,20,24,26,31,38,38,27,27,38,20,27,38,31,20,27,26,38,26,30,20,30,38,20,26,34,20,38,20,20,20,31,30,20,26,26,26,24,30,38,31,38,38,27,26,26,20,26,27,20,26,38,30,26,30,30,24,30,20,30,30,20,27,34,31,20,31,20,38,34,20,30,20,38,20,26,20,26,21,34,23,30,24,23,31,31,28,23,24,38,34,24,31,23,21,23,31,21,23,27,23,30,24,24,26,34,28,30,26,38,24,23,28,24,23,23,31,26,21,21,21,38,27,23,26,21,21,31,21,31,26,28,26,28,23,31,30,31,28,21,26,24,23,23,21,23,28,26,31,24,26,21,34,23,21,26,26,27,23,23,23,23,23,26,26,24,21,23,34,30,21,26,24,21,21,31,38,27,30,26,26,28,21,31,28,26,28,23,31,21,21,28,21,30,31,23,31,23,31,38,27,31,26,26,26,34,21,21,21,24,23,26,38,21,21,23,23,27,21,27,30,23,21,28,23,28,27,21,31,24,26,24,26,21,31,30,31,24,34,23,28,21,26,28,31,21,23,21,30,30,28,31,34,31,23,26,31,30,30,28,21,23,21,21,38,26,23,23,23,27,23,34,24,28,23,30,30,38,38,38,23,23,30,23,23,30,26,31,24,23,38,26,31,28,23,21,31,28,26,28,24,35
11,31,38,26,34,38,20,24,34,24,30,38,26,38,30,31,31,38,34,30,38,26,20,38,31,31,24,31,31,26,30,20,38,26,27,26,38,31,31,27,27,20,26,31,26,31,24,38,20,20,31,20,34,20,38,31,31,31,20,26,31,30,26,38,20,30,20,30,31,26,31,30,31,38,31,24,30,20,27,26,30,20,30,20,38,38,27,26,24,27,20,30,31,30,30,38,31,34,20,30,20,31,26,38,38,26,20,38,31,26,26,31,26,31,20,30,34,31,20,38,31,31,38,38,20,31,24,30,30,26,34,38,31,31,30,31,20,31,31,26,38,30,20,30,20,26,24,20,26,34,20,27,20,31,30,20,26,31,20,24,27,30,20,26,20,20,24,31,20,20,27,24,38,31,31,31,30,26,28,31,28,28,23,28,26,23,26,31,24,23,31,38,30,23,23,23,24,27,28,23,23,34,21,21,28,24,23,31,31,26,23,23,27,23,23,23,28,26,23,26,31,26,23,26,31,27,23,38,31,24,28,23,31,28,23,31,31,31,30,30,21,34,28,21,28,28,30,28,23,23,21,21,34,23,21,23,26,31,21,31,24,38,28,26,38,26,23,23,31,28,31,38,23,23,26,31,31,31,24,26,31,23,23,34,38,23,24,38,23,21,27,28,28,23,21,23,23,26,26,21,26,21,23,28,23,26,21,23,38,23,21,26,23,23,31,30,28,23,27,24,30,21,21,34,21,28,26,27,21,30,21,26,26,26,34,23,34,23,34,26,21,28,28,30,26,28,26,28,30,31,21,23,30,26,38,23,26,31,31,23,26,31,24,27,26,23,28,23,21,28,27,23,23,23,31,31,26,38,26,31,23,21,23,30,23,34,38,24,28,23,26,24,23,21,30,21,31,28,21,23,40
12,27,20,26,26,31,31,27,26,30,20,38,24,20,38,20,20,26,20,38,24,24,27,24,34,31,34,38,31,26,26,30,26,31,24,31,38,34,24,26,20,20,38,24,31,20,20,31,20,31,20,38,31,26,26,27,31,27,38,38,31,38,24,34,31,26,27,26,30,27,20,20,20,26,31,31,30,27,38,31,26,34,27,24,27,20,20,30,27,30,20,20,20,27,30,20,38,31,20,34,20,20,31,31,30,30,38,26,20,38,20,31,24,34,20,34,27,34,20,31,31,20,26,27,34,20,20,20,34,20,34,20,30,31,31,26,30,31,31,30,30,38,30,30,20,20,20,30,24,26,38,26,20,30,20,30,20,31,27,26,31,38,20,24,20,27,38,20,27,30,20,26,20,20,30,20,23,23,21,34,31,28,26,30,31,27,21,23,31,38,28,26,28,24,31,23,38,26,26,38,23,23,21,23,24,30,21,28,28,28,30,30,31,24,26,23,30,28,31,24,26,21,23,28,26,23,26,23,31,38,23,23,38,31,23,23,24,31,23,23,23,21,28,31,26,24,26,21,26,23,38,30,28,28,26,38,30,23,31,21,30,31,21,23,24,23,31,34,26,28,21,28,24,23,23,26,30,21,34,23,23,23,34,31,26,23,26,38,34,24,26,26,23,34,28,28,23,28,34,38,24,31,34,28,26,23,27,26,23,26,31,26,26,24,31,34,30,24,21,23,31,23,24,24,23,24,26,26,38,21,24,23,31,28,21,28,28,23,24,23,34,38,23,26,26,23,21,30,31,23,30,30,30,30,26,31,34,28,21,23,28,23,28,34,28,21,23,31,31,34,28,23,27,31,38,31,31,21,27,24,23,21,38,21,30,23,28,38,23,31,28,23,28,28,23,24,23,21,23,34,33
13,27,20,25,38,20,20,26,34,31,31,25,31,30,30,27,20,34,31,34,31,31,25,30,34,38,31,26,31,27,27,25,25,30,30,31,38,30,38,30,26,20,20,20,20,25,31,20,31,20,38,31,31,38,38,25,20,31,26,26,38,38,20,38,20,27,38,20,26,20,20,31,34,38,34,31,20,31,27,30,31,20,31,30,30,20,30,27,38,31,30,31,26,30,27,31,26,20,26,20,20,31,31,25,25,20,20,31,26,26,20,31,31,31,20,31,31,26,30,38,27,26,30,38,31,30,20,20,27,30,27,26,20,38,31,34,25,31,26,20,27,26,20,30,26,20,38,20,31,26,38,27,38,34,30,38,31,26,31,30,20,38,38,34,31,25,20,31,26,38,31,20,34,20,38,34,27,31,30,26,28,27,21,26,23,28,30,38,26,21,28,26,28,31,31,31,34,26,31,23,27,26,23,26,23,26,28,21,25,38,28,31,31,23,26,23,31,34,23,26,30,28,21,23,34,28,30,23,23,31,26,21,28,26,30,23,23,30,25,23,26,21,21,30,21,23,38,31,30,28,38,21,25,31,31,21,28,26,31,23,23,28,25,31,23,30,23,21,26,23,21,23,38,23,26,31,31,28,26,31,23,38,23,23,27,21,26,38,23,25,31,31,25,34,26,38,23,26,21,26,30,23,28,21,26,23,31,28,23,34,21,28,26,23,23,28,26,21,26,21,23,34,28,26,21,23,31,25,23,23,31,21,21,23,21,31,31,31,21,38,26,26,25,25,30,30,31,31,27,34,31,23,28,23,26,26,23,26,23,23,31,23,31,28,28,38,23,38,28,23,31,31,28,23,26,38,21,28,26,38,28,25,27,38,21,30,23,26,23,26,28,27,23,38,23,31,28,23,38,31,35
14,20,27,34,25,20,20,31,31,31,20,31,20,31,26,34,20,20,34,26,38,20,31,20,31,27,30,38,26,25,30,31,34,20,38,25,25,26,30,31,31,25,26,27,31,38,31,30,27,38,34,30,31,20,38,20,34,31,31,38,38,34,27,20,31,26,27,26,38,20,30,31,25,20,20,26,38,26,38,30,26,20,31,26,20,26,20,31,20,26,26,31,30,20,31,26,34,34,27,25,20,26,38,27,34,26,31,34,31,30,31,20,38,34,31,30,38,25,20,30,20,20,31,27,31,20,20,20,20,25,31,20,34,26,20,26,20,38,20,30,31,20,26,27,34,20,25,27,26,20,20,34,38,31,34,31,34,38,31,26,20,20,31,38,26,26,20,20,26,26,26,31,31,31,25,31,28,31,25,26,28,23,26,31,23,31,31,31,23,30,23,31,30,23,26,26,23,23,26,28,26,26,31,31,23,31,31,25,31,28,28,30,31,31,28,21,28,21,26,34,28,27,25,38,26,31,23,30,21,26,21,26,21,23,26,31,30,28,25,31,23,21,21,21,31,23,23,23,26,31,31,31,25,21,21,23,21,21,23,21,26,38,21,25,28,31,27,26,23,23,30,23,25,26,38,21,23,25,27,21,26,26,26,31,28,34,31,38,30,38,28,23,28,28,34,31,25,38,28,31,28,26,31,26,30,23,26,26,30,28,31,31,21,28,23,26,26,25,23,28,23,21,30,28,28,31,21,23,31,38,38,23,23,23,21,28,38,25,25,26,28,23,23,23,26,26,30,23,38,23,23,31,28,28,23,38,21,23,30,38,23,31,25,21,28,23,28,21,21,31,21,26,23,26,31,26,31,25,21,38,23,26,38,21,21,26,38,26,27,31,31,21,21,21,21,26,23,23,25,23,33
15,26,20,30,27,20,20,30,31,30,26,20,26,38,20,38,38,27,31,38,20,24,20,20,31,30,26,20,30,26,31,20,31,20,31,31,30,31,20,26,24,38,20,27,20,38,20,30,20,24,30,20,20,24,34,30,34,38,30,31,38,31,26,26,20,20,26,30,31,30,20,31,20,26,34,26,27,38,20,38,20,20,31,31,27,31,26,38,31,38,26,31,31,38,30,31,20,38,30,20,20,24,30,31,31,27,20,38,31,30,31,38,38,30,30,38,30,30,30,30,31,31,26,27,30,24,26,31,20,30,31,26,38,31,24,30,26,38,38,20,30,20,38,27,38,30,38,30,30,20,31,20,30,20,38,31,20,20,31,31,26,20,30,30,20,20,20,30,24,27,24,34,26,30,31,20,30,21,23,23,23,26,24,23,38,21,31,23,28,38,30,24,21,24,26,28,26,23,31,26,38,34,26,23,34,31,28,23,21,28,23,38,28,34,23,28,23,21,26,26,26,23,26,23,21,23,28,28,23,31,28,28,31,24,26,38,28,30,23,27,23,23,27,23,38,23,31,23,23,31,21,31,38,21,28,30,23,21,23,23,28,26,31,23,31,31,23,31,23,23,28,23,31,23,23,21,23,23,31,23,23,21,30,23,23,23,31,30,26,38,31,34,23,28,28,21,30,21,27,28,21,23,34,34,34,31,31,21,23,23,21,23,23,34,23,26,28,31,26,21,24,26,23,23,23,28,28,28,28,23,23,34,31,27,28,28,23,21,26,26,31,23,30,38,26,24,34,31,31,21,31,26,31,31,23,38,34,21,23,23,23,23,28,30,34,23,23,21,23,28,24,30,23,23,31,21,30,31,24,24,30,23,23,28,28,34,28,34,26,26,30,23,28,21,31,31,23,21,31,30,40
16,26,20,31,31,20,20,27,20,20,20,24,26,20,27,20,20,20,27,34,31,31,31,38,20,31,24,26,27,34,20,20,20,31,26,30,20,26,20,30,31,20,20,31,24,26,30,38,24,38,31,20,34,20,26,34,20,30,24,20,34,20,38,38,31,20,20,20,20,30,34,38,30,26,30,38,38,20,30,31,38,34,20,20,31,26,31,38,20,26,26,38,27,30,27,30,31,38,24,24,30,26,31,26,30,38,20,20,38,20,30,24,31,26,34,27,20,20,27,31,38,30,30,38,20,38,30,30,26,20,38,26,38,20,26,27,38,30,20,20,31,31,26,20,27,31,26,26,26,31,20,34,31,31,31,38,30,34,30,26,20,20,20,26,24,26,27,24,31,30,31,30,27,27,31,30,21,28,31,31,34,23,23,23,26,23,26,26,23,21,30,31,28,31,26,21,28,23,38,30,23,26,23,28,31,23,28,21,26,23,31,23,21,26,26,21,26,23,21,31,23,30,26,28,31,23,23,23,23,28,23,31,34,23,26,24,27,28,23,21,21,26,24,28,31,23,26,26,38,23,31,30,24,28,26,26,38,23,21,23,26,24,23,23,26,23,23,27,28,26,28,28,38,31,26,21,21,31,34,28,26,23,28,31,23,23,38,28,21,38,30,24,30,28,21,21,28,26,31,23,28,26,26,34,26,28,26,31,30,26,21,21,23,28,26,26,30,38,30,31,28,27,23,26,23,30,26,21,21,21,26,21,23,23,34,23,31,23,27,34,31,23,28,26,27,31,27,28,21,31,26,38,26,31,24,21,23,28,28,21,24,24,23,27,23,30,24,23,26,21,24,28,38,30,23,26,27,31,23,30,31,21,23,23,28,31,26,23,21,23,26,23,21,23,38,31,24,28,28,23,35
17,26,31,27,31,31,26,31,31,20,26,31,26,20,20,34,26,38,27,26,30,24,27,20,30,27,30,26,38,30,26,31,20,38,26,26,26,20,31,31,31,31,31,31,31,26,26,20,20,27,38,20,26,27,31,31,20,30,31,31,31,27,27,26,31,26,20,24,30,31,20,26,20,20,30,31,30,20,26,20,26,30,30,38,34,30,30,20,31,24,26,31,30,38,20,24,31,34,20,20,20,20,31,20,31,24,20,38,30,31,31,38,24,20,34,24,20,20,27,31,26,31,31,30,31,24,26,31,20,26,31,20,30,26,26,20,30,38,20,24,20,24,24,20,26,31,30,31,20,38,30,38,38,38,20,20,26,20,30,34,30,38,31,31,38,26,20,20,26,38,20,20,27,34,20,26,38,21,26,28,28,26,24,24,30,23,38,31,31,38,23,31,31,26,24,26,23,28,31,26,30,26,23,31,34,23,38,38,34,21,31,23,26,21,23,26,26,38,24,26,28,21,28,31,27,21,38,38,24,21,30,21,26,23,31,23,23,31,23,31,31,21,21,23,21,31,21,30,28,34,31,24,30,28,23,28,23,31,23,21,26,21,31,21,26,23,24,34,30,26,28,28,38,26,31,26,27,23,26,28,28,23,26,31,21,28,34,21,28,21,28,31,28,26,28,38,26,28,28,28,38,23,23,21,23,31,26,21,21,30,24,21,30,30,26,21,24,23,38,24,23,26,26,23,30,38,26,23,26,34,34,34,26,28,34,31,21,26,21,24,23,26,26,23,23,23,27,26,26,31,26,26,24,26,21,38,26,23,23,21,23,23,21,31,31,23,24,21,26,23,31,24,38,27,31,23,27,31,30,38,28,31,38,21,38,23,23,23,31,26,23,23,28,23,23,28,31,34,23,21,35
18,38,25,38,20,27,27,25,27,26,26,38,26,34,31,27,20,25,31,31,34,26,31,30,38,31,31,30,31,26,31,30,26,20,30,26,27,20,31,20,26,30,31,20,25,38,26,26,26,20,38,26,31,38,20,31,27,38,26,30,31,26,30,20,38,38,20,38,31,27,26,20,31,38,31,30,20,20,34,31,34,38,30,34,27,27,34,30,20,26,20,38,27,31,31,25,20,31,20,38,20,31,20,31,20,20,31,31,34,30,38,26,30,25,38,31,27,25,30,34,20,20,20,20,27,26,20,38,31,31,38,25,20,26,27,30,38,26,26,31,26,38,20,20,27,38,26,31,31,34,38,30,20,34,38,20,30,25,31,20,20,20,38,27,27,34,26,38,38,31,30,31,20,20,31,31,21,25,21,34,21,27,26,31,31,31,25,38,28,26,28,26,31,21,38,28,23,28,26,28,26,31,21,26,31,23,23,28,38,28,23,25,26,34,23,31,23,26,23,31,23,26,25,23,30,21,26,21,23,30,27,23,23,28,25,25,23,26,23,28,26,38,23,21,23,25,21,30,23,25,21,21,27,26,31,28,28,38,26,31,31,25,26,31,26,26,21,25,23,25,26,26,34,25,21,31,31,26,23,23,23,23,30,31,26,26,23,23,34,26,31,23,23,23,21,31,31,23,27,25,23,28,21,23,23,23,23,28,21,23,23,31,21,23,23,21,23,23,27,23,23,27,26,26,31,30,30,31,28,31,28,23,28,21,31,26,28,26,26,26,38,25,30,38,26,25,30,31,26,28,25,23,31,31,31,23,26,38,26,38,21,31,30,26,31,31,26,28,28,34,23,23,31,31,21,30,31,28,31,21,28,27,23,30,27,28,28,30,21,25,23,28,23,23,31,31,26,28,28,34,35
19,27,20,20,20,20,27,31,20,26,26,31,31,31,34,30,31,20,26,27,24,20,34,20,20,26,20,38,31,24,20,20,34,26,20,30,31,34,24,31,34,34,38,27,31,31,20,38,30,20,20,30,27,30,26,24,30,30,31,34,31,24,30,31,26,26,31,31,38,26,20,20,31,38,24,30,26,26,34,38,20,38,31,20,27,20,31,20,31,38,38,34,24,20,31,34,20,20,26,31,30,20,38,20,26,31,24,20,38,31,20,26,30,26,20,20,26,30,20,20,27,30,31,31,26,31,20,31,30,20,26,20,38,38,26,26,31,38,30,31,24,30,27,26,38,27,24,30,20,27,20,30,31,20,38,31,30,31,31,30,24,26,31,31,31,34,26,31,26,38,20,38,30,20,27,34,26,34,23,24,31,26,26,23,30,27,26,31,38,21,34,23,26,23,34,28,21,28,21,23,23,28,26,26,21,26,26,30,34,38,26,21,23,38,23,23,24,23,21,23,38,26,31,34,23,31,31,24,23,23,28,31,23,26,31,23,31,23,28,28,28,31,38,23,21,31,21,38,23,24,30,23,21,23,24,28,28,24,31,27,26,21,23,28,21,21,38,26,26,38,21,28,23,31,38,28,31,27,27,26,31,26,26,30,31,27,21,23,34,23,34,23,23,21,21,31,27,28,23,21,31,24,21,30,28,21,24,31,28,21,23,31,23,23,34,27,21,23,28,38,31,31,23,23,38,38,21,23,31,21,23,21,24,23,23,38,26,21,23,30,26,23,23,31,31,27,26,26,26,23,26,24,31,31,28,23,23,34,28,23,28,23,21,28,31,26,23,28,23,27,21,30,23,34,24,23,23,21,38,26,23,23,23,38,26,21,23,31,26,23,31,27,26,21,23,30,28,23,21,26,36
20,31,31,20,20,31,38,26,26,20,38,38,30,20,30,20,38,26,26,38,34,30,30,20,31,31,31,34,30,20,31,25,27,31,20,26,31,20,31,31,27,30,25,20,20,38,27,26,20,27,20,38,31,26,20,34,25,30,30,34,31,30,34,34,20,27,27,30,27,20,26,30,38,20,38,38,20,38,20,38,26,27,27,31,31,27,31,38,20,26,26,34,31,27,20,25,31,27,20,20,38,31,30,31,20,31,31,38,20,20,31,20,31,20,31,20,20,31,27,31,26,31,27,31,31,20,20,20,31,25,31,31,34,27,30,20,31,31,25,31,26,20,20,31,25,25,31,20,30,20,26,34,20,26,20,26,31,26,34,26,31,27,20,26,30,38,30,31,27,31,31,26,30,27,20,38,31,21,23,31,23,31,30,23,31,21,34,38,34,38,31,26,34,21,23,28,28,28,21,26,34,31,31,23,25,26,23,31,21,21,23,26,38,38,31,21,21,21,28,25,23,28,27,28,30,23,25,21,23,31,38,23,26,23,26,21,30,26,31,21,27,26,28,26,21,30,38,26,25,21,38,21,30,23,30,23,26,31,21,31,28,23,31,23,21,26,31,26,28,21,23,21,38,31,25,23,28,28,30,30,28,23,26,26,28,21,23,26,26,26,31,25,23,23,31,30,26,23,26,38,38,25,21,31,21,21,21,23,26,21,23,23,31,31,23,28,31,25,23,21,26,31,21,21,21,26,26,23,38,26,23,38,26,31,28,21,26,26,28,31,23,21,23,26,21,30,25,26,23,23,21,31,21,26,23,23,30,28,38,23,23,28,30,23,23,31,25,21,27,25,23,23,31,28,28,28,31,25,27,38,28,25,21,31,26,23,38,25,27,38,26,34,28,28,23,21,23,26,31,28,33
21,24,20,24,27,20,20,26,31,38,31,31,20,30,30,20,20,30,26,26,20,34,38,20,20,27,20,38,30,20,20,20,20,31,26,26,38,20,20,31,30,26,38,34,24,26,26,20,27,30,20,38,26,30,24,34,20,31,34,38,30,31,34,26,20,24,31,26,26,31,20,31,34,38,27,20,20,20,31,38,31,38,20,30,34,31,38,38,26,31,20,26,38,27,26,38,30,30,24,20,27,20,20,20,34,20,31,30,30,24,38,34,24,20,26,34,30,20,31,24,30,31,20,20,20,20,20,30,24,27,24,31,26,20,30,26,38,31,38,31,31,31,34,38,20,30,26,34,26,38,20,38,27,26,20,38,26,26,30,26,31,20,26,20,34,20,34,30,27,38,24,26,26,31,20,31,24,28,23,23,26,26,21,28,26,23,34,23,23,23,34,26,31,23,21,31,23,21,28,23,23,26,28,26,31,23,28,31,30,26,23,38,26,21,38,24,23,21,38,31,30,23,23,28,21,26,31,21,30,21,24,26,23,24,21,28,21,21,38,31,23,23,26,26,26,21,23,23,23,31,23,21,26,28,21,24,28,23,38,34,31,23,30,38,23,34,27,30,26,28,21,21,26,26,21,28,23,31,27,23,27,21,23,21,26,21,23,24,24,23,24,38,28,23,26,21,23,38,21,28,23,31,30,23,24,30,31,34,24,21,26,23,21,28,38,24,30,26,23,28,31,28,28,28,23,28,27,27,31,34,26,21,24,31,31,31,23,23,21,31,34,26,28,34,21,28,23,24,31,26,38,23,26,30,21,24,26,23,26,31,21,31,38,21,26,23,21,24,31,21,30,26,24,23,23,26,30,38,23,31,28,28,28,34,26,23,26,21,23,21,24,26,27,23,31,23,21,23,21,23,40
22,31,31,20,34,38,31,38,34,20,30,31,30,20,34,31,27,30,38,31,30,27,30,34,31,38,31,20,31,30,34,34,26,31,38,20,20,27,30,20,24,31,20,20,34,31,31,30,20,20,20,20,38,20,38,38,26,20,31,31,34,20,38,30,34,20,20,34,20,26,31,27,30,24,30,20,20,31,26,26,31,24,31,30,20,20,31,20,20,24,20,31,31,20,31,30,38,26,20,20,27,20,38,30,20,20,26,26,31,20,38,20,26,31,20,24,31,31,26,34,20,20,20,26,26,26,31,20,20,20,31,20,38,26,27,26,31,20,34,20,31,20,27,20,20,38,20,26,20,31,31,31,30,20,30,30,20,20,27,38,31,31,27,20,20,20,31,26,34,27,20,27,26,34,27,20,26,27,23,38,31,26,31,31,26,24,27,26,26,23,26,23,31,23,31,26,26,26,26,28,34,23,31,27,23,30,23,28,21,30,23,21,31,23,38,23,26,31,26,28,24,26,21,24,34,21,30,26,23,28,23,21,26,31,23,30,24,23,31,23,24,26,23,28,26,31,21,30,23,21,30,27,30,24,27,24,24,28,21,28,28,38,23,30,38,24,24,23,31,21,38,28,28,28,24,28,26,26,38,21,27,21,26,30,23,26,24,21,30,23,23,26,23,28,31,31,23,26,21,34,23,24,27,31,27,24,23,27,21,23,28,26,23,23,31,26,26,26,38,26,26,26,23,26,38,21,34,31,31,38,34,31,26,24,26,34,31,23,27,23,30,23,31,23,31,26,31,24,31,28,28,24,26,30,31,24,24,23,21,23,27,31,28,28,31,23,26,31,21,31,28,38,23,21,28,21,38,23,26,21,21,23,30,23,31,24,24,21,23,26,23,38,26,31,23,21,26,26,23,28,33
23,31,20,27,26,34,20,31,27,20,20,30,30,27,30,27,20,30,27,20,31,31,26,31,20,34,24,26,30,31,26,20,20,34,27,34,38,24,26,27,20,20,26,31,31,26,31,20,27,38,31,20,30,20,31,26,38,27,24,20,27,20,30,30,30,27,31,27,24,38,30,38,30,24,20,27,26,20,30,34,31,38,38,20,26,31,34,26,38,24,31,30,38,20,30,26,20,27,26,31,24,31,27,24,31,20,31,26,20,38,24,24,26,26,20,20,31,24,38,31,20,24,26,31,30,34,30,27,20,20,20,31,30,34,20,31,34,31,20,20,20,20,31,26,26,30,30,30,26,20,24,31,31,30,24,38,20,20,38,30,30,20,30,20,30,20,31,31,20,20,31,24,31,20,20,20,28,21,23,34,23,31,27,23,26,23,30,31,21,28,23,31,23,30,23,23,23,26,28,21,24,23,21,38,21,28,30,27,38,30,28,27,28,23,30,23,30,30,21,23,31,21,24,23,23,26,26,38,23,23,26,21,21,28,31,38,21,26,23,21,26,21,21,31,26,31,26,28,31,31,24,24,23,23,24,23,23,26,23,26,24,30,38,21,31,28,31,24,24,26,23,21,31,24,30,23,23,23,23,31,21,23,26,21,24,31,31,23,28,26,23,30,23,24,28,21,23,23,21,23,23,23,38,26,23,28,21,23,31,23,31,38,26,23,21,27,27,30,23,31,26,23,28,21,38,28,26,34,23,23,23,21,38,28,26,28,21,38,30,23,31,30,27,26,23,31,21,21,24,28,23,31,31,23,30,21,23,38,26,28,30,23,26,21,31,24,38,23,34,31,21,31,23,26,30,30,24,31,28,28,28,28,24,26,26,26,38,34,23,28,21,31,38,31,31,38,38,23,26,28,40
24,31,26,31,31,30,24,20,31,30,20,24,38,20,34,20,38,26,31,26,31,31,20,20,31,38,31,31,30,24,26,24,34,26,30,20,20,31,38,24,20,30,20,20,31,38,38,30,20,26,34,38,30,31,26,20,20,38,38,26,31,30,38,38,20,20,26,20,38,31,38,26,20,20,27,30,38,30,38,30,31,30,30,20,34,31,38,20,20,20,27,31,30,34,24,20,38,38,20,20,31,20,38,31,31,26,26,24,26,30,27,30,24,24,20,24,38,20,38,30,20,20,20,20,31,31,34,38,31,20,34,31,31,34,24,20,20,26,31,20,38,31,20,31,31,20,30,31,26,20,38,31,26,24,31,31,30,34,26,31,30,26,20,20,30,38,20,24,30,24,24,31,38,31,31,30,26,28,23,28,31,23,24,31,31,26,23,27,26,31,23,21,30,31,23,23,28,23,23,38,30,28,23,38,28,21,28,24,24,38,23,21,26,28,28,38,26,24,38,23,31,26,23,27,28,21,26,27,24,26,30,28,31,21,30,21,30,27,26,31,34,23,26,24,38,24,28,26,23,23,31,31,21,31,28,23,38,26,24,24,23,24,31,30,28,21,24,31,21,23,28,28,30,31,21,23,30,31,23,28,38,28,21,28,30,28,23,28,31,23,30,28,21,31,31,28,26,28,31,30,21,28,38,23,23,31,24,26,30,23,38,28,21,23,23,24,21,26,31,23,26,21,38,28,28,31,23,21,26,23,30,28,38,26,30,23,26,26,28,31,24,23,34,24,23,38,26,30,21,21,34,31,30,38,23,28,38,23,38,30,28,28,23,30,23,38,23,28,24,26,24,23,23,38,23,21,23,23,28,23,30,23,27,31,28,24,27,23,21,26,24,31,23,31,26,23,23,24,23,27,40
25,20,30,20,31,25,31,38,38,20,26,31,30,34,38,26,25,27,26,20,26,31,38,25,20,30,26,38,38,20,31,30,26,34,20,31,20,20,20,20,34,31,27,31,38,34,34,26,27,27,20,27,31,27,30,38,20,38,31,20,20,31,34,26,38,38,30,30,30,30,20,20,31,20,38,31,27,27,20,31,20,34,25,31,38,25,27,31,20,26,30,38,31,31,31,34,26,30,20,38,20,31,38,30,38,38,31,34,20,38,20,20,20,25,31,31,20,20,30,20,34,34,20,20,26,26,20,30,26,25,26,30,38,30,31,27,31,30,20,31,25,30,31,30,38,38,26,25,31,25,30,26,38,38,30,31,20,26,27,31,27,34,20,20,20,20,31,20,38,31,30,31,20,20,38,34,21,38,23,28,26,34,25,26,30,34,23,23,25,28,31,25,31,28,26,28,30,23,26,28,28,21,23,25,30,27,26,28,21,34,23,21,28,38,26,21,25,26,26,23,31,31,28,38,25,27,23,21,25,34,30,27,30,38,21,38,28,28,25,23,21,23,21,38,25,25,31,21,31,21,21,26,27,26,21,30,28,23,23,30,26,23,28,27,26,21,28,27,21,27,38,23,30,25,28,26,26,23,26,25,31,26,30,30,23,38,30,23,26,30,28,25,28,23,23,38,23,21,23,31,26,31,30,28,27,21,23,26,23,21,23,28,21,25,23,28,25,25,38,21,28,21,30,26,31,34,23,38,31,30,25,23,28,25,30,23,26,21,23,26,26,26,30,30,38,30,30,21,23,30,23,31,38,31,23,28,25,23,31,21,28,25,23,26,28,26,21,34,38,38,21,31,31,21,21,34,23,30,31,26,21,28,30,23,28,28,28,38,31,26,28,27,27,34,23,28,27,25,28,31,33
