,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
12,27,34,20,20,27,20,20,27,20,26,26,38,26,20,20,38,26,20,31,34,31,38,27,30,24,20,31,20,30,20,31,30,34,20,20,31,27,20,38,27,31,20,34,27,30,31,30,21,23,21,31,23,31,38,28,26,23,23,27,21,21,31,28,24,38,26,28,27,28,23,21,23,34,27,38,31,26,31,31,26,23,24,24,27,30,23,21,31,26,23,30,23,28,21,28,26,23,30,34,47
13,31,20,31,30,38,30,24,27,20,20,24,38,26,20,20,30,31,24,24,26,38,26,38,20,31,30,38,27,26,30,31,34,20,31,20,31,30,31,34,31,20,31,38,24,28,23,26,23,23,21,31,26,28,21,31,23,24,26,30,21,30,27,23,21,26,31,28,31,23,26,31,21,23,30,31,34,31,28,21,31,21,21,23,23,38,27,23,34,31,30,28,21,23,23,34,28,28,34,26,35
14,31,30,27,20,31,31,31,26,20,26,20,34,20,31,38,31,38,26,26,27,34,27,26,27,38,34,38,31,38,20,31,31,30,20,30,31,26,20,24,30,31,20,24,30,31,23,23,21,21,23,23,26,23,23,31,31,28,30,27,23,31,26,23,28,31,23,21,34,28,28,21,28,21,23,26,24,23,26,24,28,23,23,26,26,28,28,31,28,23,21,23,31,38,23,28,38,23,31,31,33
15,30,31,30,27,34,38,20,20,26,31,38,30,20,34,30,26,20,24,31,38,20,30,20,31,20,34,20,20,38,31,38,31,31,27,20,30,38,38,30,26,20,38,24,24,23,28,23,28,31,38,30,23,21,23,38,21,26,23,24,27,24,24,23,21,31,23,31,30,27,23,28,21,26,34,38,23,31,31,21,26,31,27,31,31,30,21,38,26,30,31,31,21,30,21,26,21,28,31,28,40
16,20,31,24,30,27,24,20,38,34,24,20,38,38,20,26,30,34,31,26,30,20,38,20,26,38,38,38,20,20,31,31,20,20,26,20,20,26,30,31,30,20,31,30,20,28,21,23,23,28,23,31,23,26,31,24,31,28,38,34,23,21,23,30,24,23,28,26,26,31,24,23,23,21,23,26,26,34,31,26,21,23,30,30,23,23,28,23,31,31,28,23,38,38,23,31,38,31,24,23,39
17,26,31,20,31,31,38,31,38,34,20,38,30,31,26,20,30,24,31,30,20,31,38,20,30,26,31,26,31,38,20,26,20,31,20,20,30,30,30,31,38,27,34,38,31,23,26,23,23,31,30,24,21,24,27,31,28,23,23,26,31,23,30,23,31,28,38,23,23,26,27,30,21,24,28,34,27,31,30,23,27,23,21,38,38,38,23,26,21,23,23,28,21,31,26,23,24,21,23,34,35
18,27,38,20,38,31,27,30,20,34,30,20,31,20,30,31,34,30,30,30,20,20,30,20,30,38,20,26,20,34,31,38,30,20,30,30,24,20,20,34,31,27,20,38,30,21,24,24,23,31,38,31,28,26,23,21,23,23,28,23,24,23,30,38,28,28,23,26,23,23,34,26,21,27,31,21,31,38,31,31,23,21,21,28,34,23,31,38,21,23,31,23,31,28,23,27,30,31,23,27,35
19,31,26,31,38,38,30,27,31,34,24,20,24,26,34,38,38,34,31,34,31,26,30,20,20,27,30,38,30,38,26,24,31,31,38,20,20,20,38,31,20,30,34,31,20,28,23,28,30,23,26,38,34,23,28,21,21,28,31,28,23,23,38,23,30,23,30,28,23,26,38,28,28,23,38,28,26,30,21,23,23,21,23,23,28,24,23,34,34,23,23,23,23,23,23,27,26,23,28,26,35
20,31,20,34,26,31,24,34,27,27,38,31,20,31,26,34,20,38,34,20,20,31,20,27,20,31,26,38,31,27,26,30,31,26,31,31,26,31,31,24,26,27,20,20,20,23,31,24,26,23,21,31,28,23,27,38,23,34,23,21,21,38,38,28,34,26,28,23,26,21,28,38,31,34,23,23,23,26,23,23,31,28,27,23,34,26,31,38,21,23,31,23,21,27,23,23,28,21,34,26,35
21,20,38,26,34,20,31,20,27,34,30,20,30,20,30,38,24,20,20,31,20,31,24,30,31,31,38,38,31,20,31,30,20,38,38,24,30,38,31,20,31,31,20,20,26,28,31,28,23,26,31,34,23,31,30,28,23,28,26,38,26,23,21,23,24,31,28,21,30,28,31,23,23,23,28,30,26,23,24,21,23,31,21,31,31,23,24,23,24,26,31,23,21,23,38,23,23,34,31,24,36
22,20,38,38,31,20,38,38,38,31,38,26,38,38,31,24,38,20,31,38,20,27,20,38,34,27,34,31,31,31,26,31,30,26,30,30,27,24,31,30,20,31,20,20,20,31,23,30,26,34,27,30,27,27,30,23,31,30,23,23,31,24,31,28,28,28,23,31,23,26,23,23,21,31,30,31,31,21,28,28,26,21,31,23,38,23,34,26,27,38,23,31,26,31,30,31,23,23,31,31,40
23,26,20,24,38,26,26,20,38,31,31,24,31,34,30,27,26,27,20,27,24,31,26,20,20,31,20,26,38,26,34,27,38,34,20,30,31,30,26,26,26,31,31,20,20,28,38,28,26,26,31,23,31,23,31,30,21,24,23,23,24,23,26,26,31,23,23,21,31,26,31,27,31,23,23,38,26,38,30,21,38,28,26,23,28,23,23,23,30,28,23,38,26,28,23,23,34,23,28,26,33
24,27,31,30,26,31,38,20,26,20,26,27,20,30,30,38,20,20,20,27,20,26,26,34,31,26,20,26,20,31,26,38,20,24,27,20,26,20,20,20,27,20,30,27,38,21,34,26,26,23,21,23,26,23,23,28,28,24,23,26,27,28,21,38,23,28,23,26,23,31,26,31,38,31,24,28,30,21,28,24,28,24,31,30,26,31,26,30,24,28,23,30,26,31,38,31,26,23,21,26,40
25,38,30,20,30,31,30,31,24,20,38,30,34,20,27,20,31,20,31,20,20,31,30,26,20,38,24,20,31,20,20,26,34,30,30,20,30,34,30,20,20,26,27,31,20,31,34,23,28,23,23,28,23,26,26,26,23,31,23,23,24,26,38,23,23,23,31,24,38,34,30,31,30,26,21,31,26,26,23,26,38,21,28,26,30,21,24,38,21,23,27,31,28,28,23,31,23,26,34,31,35
26,30,26,26,34,38,20,20,38,38,38,20,31,31,20,38,38,38,31,38,27,31,26,20,34,30,24,31,20,20,34,30,31,24,20,30,20,20,31,20,27,38,20,30,34,21,28,31,24,31,23,23,23,26,21,38,23,38,26,26,34,21,28,28,30,26,23,30,24,21,38,21,24,23,23,23,21,23,38,38,23,31,21,31,24,26,26,28,23,28,38,23,31,28,34,21,24,23,26,24,39
27,31,26,30,26,20,31,20,38,30,26,26,26,30,20,20,31,20,27,31,20,34,20,20,26,20,30,20,26,31,20,30,20,20,20,34,27,34,31,20,27,38,30,30,27,38,23,23,21,30,31,23,31,24,23,23,23,28,26,31,23,28,31,28,24,38,26,21,21,34,28,23,24,23,34,23,21,30,31,21,31,23,26,30,24,34,21,23,26,31,21,23,24,31,23,30,26,28,26,28,40
28,26,31,20,34,31,20,31,24,30,20,31,31,30,20,31,31,20,24,20,30,26,31,27,24,27,24,30,31,26,24,26,38,20,20,31,27,30,38,20,27,31,20,27,26,31,21,28,38,26,23,23,30,34,23,23,30,23,31,23,34,21,23,38,24,26,23,23,30,26,26,31,28,23,23,26,26,30,23,28,23,28,26,31,26,21,38,26,34,38,28,38,23,21,31,23,26,23,26,34,40
29,20,20,20,31,20,20,26,31,34,38,20,26,31,24,20,26,20,26,38,30,30,20,34,20,30,38,30,20,31,20,30,24,24,38,20,20,31,30,20,20,38,20,34,26,21,24,26,21,23,26,26,26,30,21,23,38,31,21,26,28,21,26,30,38,23,38,23,31,21,31,23,30,26,23,26,23,21,24,23,31,23,31,28,28,23,38,38,30,28,23,38,26,21,30,24,28,28,31,28,43
30,30,26,20,26,31,24,30,30,38,27,31,38,20,20,26,26,24,30,20,31,31,30,31,24,34,31,24,20,38,27,31,26,24,24,31,20,31,38,27,20,31,34,38,20,23,23,38,26,21,21,26,26,21,31,21,23,24,21,23,21,27,23,23,23,31,28,21,21,38,21,31,23,21,31,23,23,23,21,27,28,24,23,30,31,27,27,21,31,38,30,23,27,23,23,24,30,31,21,21,33
31,34,20,20,26,20,30,26,24,20,26,30,20,24,24,27,20,24,34,20,31,26,20,24,20,38,26,20,20,38,20,38,30,20,20,38,31,26,31,31,26,30,34,31,30,23,30,23,38,26,26,21,27,31,28,38,26,23,38,31,28,27,31,30,24,23,30,31,23,21,23,38,31,26,23,23,26,28,38,30,23,21,27,26,26,31,21,31,38,28,24,21,21,31,30,26,30,31,23,21,39
32,20,31,26,20,31,31,20,20,26,27,30,30,20,31,38,31,27,30,20,20,30,26,31,31,31,26,20,31,26,38,38,26,20,30,31,31,20,20,20,20,24,20,31,20,28,26,26,23,31,23,23,31,27,21,23,23,27,28,28,27,26,21,30,26,26,24,23,28,21,24,30,28,26,23,26,21,23,31,38,26,31,23,24,27,23,31,26,24,23,23,24,31,28,23,21,30,27,38,21,35
33,27,30,20,31,34,24,31,31,20,26,31,20,38,27,27,38,31,31,31,38,20,31,34,20,38,24,30,20,38,20,31,20,26,27,24,20,20,26,26,20,26,31,27,27,26,38,31,28,24,28,23,28,21,26,26,27,26,30,38,28,24,23,23,21,31,23,23,28,34,26,28,27,26,30,30,30,23,31,38,27,31,24,27,21,26,24,23,23,23,28,28,21,28,34,23,23,28,23,27,40
34,31,24,34,38,20,20,34,27,31,38,34,30,38,24,27,30,38,20,31,38,31,20,31,26,38,20,20,31,38,20,20,34,38,27,34,20,30,24,20,38,26,20,38,20,21,26,23,23,28,28,26,24,21,31,23,28,24,34,28,28,28,21,28,23,23,21,28,23,26,34,28,28,23,23,30,27,30,31,24,21,38,26,26,31,23,28,31,28,31,24,21,26,21,23,30,21,26,31,28,35
35,38,27,20,38,38,20,20,26,24,38,20,27,38,31,20,24,26,31,38,20,20,24,31,31,31,20,31,26,34,34,31,31,20,20,20,30,34,26,38,26,38,20,26,30,21,24,21,23,26,23,23,27,21,34,23,23,34,21,31,27,26,23,21,23,28,23,23,34,31,23,34,38,21,31,23,23,31,28,26,31,23,26,38,21,23,23,38,28,28,23,27,26,30,23,21,26,23,28,21,33
36,27,30,30,30,31,20,26,20,20,31,20,26,38,38,20,31,27,26,31,20,31,20,38,20,31,31,27,20,38,27,31,38,20,26,20,27,27,38,20,20,20,31,20,30,21,26,38,30,31,26,21,28,23,23,23,23,26,21,23,24,34,27,23,31,26,28,38,28,24,26,23,26,38,31,23,26,38,38,24,34,24,23,26,21,21,24,21,26,28,28,28,28,38,23,21,24,21,30,26,35
37,30,26,30,30,27,24,30,30,20,30,31,20,34,38,31,38,30,20,38,20,30,20,38,20,20,26,31,27,31,20,20,38,31,27,30,34,20,30,20,20,26,27,20,31,23,31,31,23,26,28,24,34,31,21,23,23,26,23,26,21,21,28,28,28,28,21,38,21,26,24,23,24,26,23,28,23,30,23,27,21,30,26,28,23,31,31,26,38,30,21,28,27,21,31,30,28,26,23,24,35
38,31,20,20,20,20,20,26,31,20,38,20,20,31,20,20,31,26,20,38,20,26,20,20,38,20,26,20,24,30,20,31,38,30,31,27,31,31,24,31,26,20,31,26,31,38,21,21,31,30,28,31,26,30,28,38,38,28,23,23,23,34,21,23,34,38,31,23,30,21,26,26,38,30,28,31,28,31,21,24,21,28,23,24,31,23,28,23,38,26,34,31,30,28,23,23,21,28,28,21,35
39,31,20,30,31,20,20,30,30,20,38,20,31,20,34,27,30,38,34,30,27,34,30,34,20,24,38,26,20,20,34,26,30,20,38,20,31,24,20,31,31,31,26,20,31,23,23,23,24,27,28,26,23,26,23,26,28,28,23,26,24,21,27,23,30,31,31,28,38,28,28,31,28,30,28,23,26,28,28,31,31,23,24,26,38,26,31,23,24,30,24,23,24,23,27,28,28,23,24,23,40
40,20,20,20,38,30,27,31,38,20,38,20,38,38,34,20,30,20,26,26,30,26,20,31,24,31,20,38,26,20,34,26,30,31,20,20,20,20,38,24,31,20,24,20,34,23,28,23,26,28,30,24,23,31,28,23,28,28,23,23,31,31,38,23,21,24,26,30,28,38,26,28,30,30,31,31,28,31,27,26,27,23,24,30,26,30,34,23,26,23,21,26,31,28,38,23,31,23,27,26,40
41,31,26,27,34,20,26,26,20,31,38,20,38,30,31,31,31,20,26,38,30,20,38,27,27,20,20,38,34,34,31,20,20,20,30,20,38,34,38,27,27,34,30,26,27,23,23,23,31,23,23,31,26,38,23,28,23,26,30,31,23,23,30,24,26,31,21,28,21,31,27,21,27,28,23,28,21,23,21,21,21,26,31,23,21,31,21,31,28,26,21,23,21,31,30,30,38,24,21,23,35
42,20,30,20,31,20,20,26,20,24,20,20,31,30,26,26,38,38,30,34,20,38,24,31,30,30,24,38,20,31,34,30,26,30,20,31,20,31,38,31,20,34,20,30,30,23,26,21,27,21,23,23,21,27,23,23,34,28,23,23,21,26,31,23,24,24,26,23,23,26,24,26,21,23,31,23,31,38,21,24,23,28,24,26,30,23,23,38,31,21,23,26,23,30,21,23,23,28,24,23,40
43,20,20,20,30,31,26,26,26,20,31,24,38,34,26,20,31,27,31,30,31,31,31,26,24,38,27,38,30,31,31,38,27,20,24,20,20,20,30,31,20,31,20,31,31,21,34,31,26,28,26,26,30,38,30,34,23,30,34,23,26,38,23,31,27,31,21,26,23,21,31,26,21,31,23,31,30,28,24,24,21,21,26,31,23,21,24,31,21,23,31,38,26,24,28,26,26,34,21,23,47
44,20,30,20,31,30,27,20,20,30,34,38,30,31,20,20,31,20,34,27,38,34,26,20,20,20,34,30,20,34,20,27,38,20,31,20,31,26,31,20,31,27,27,20,20,26,23,28,34,31,38,23,31,30,34,23,31,31,23,26,23,30,24,23,23,23,30,38,23,24,24,31,28,31,26,23,26,23,21,27,26,21,23,38,23,34,23,28,24,23,28,23,30,30,30,27,30,30,31,30,35
45,20,31,31,31,20,20,20,27,38,20,20,31,38,20,24,31,20,20,30,38,24,34,24,38,38,20,26,24,31,30,30,34,20,30,31,20,24,20,26,27,30,30,38,20,21,23,31,31,28,28,28,24,27,23,21,23,38,21,27,26,26,23,28,31,28,23,30,21,21,21,27,24,31,23,23,31,23,21,24,31,26,31,24,24,28,27,23,24,23,28,21,26,23,23,30,23,23,30,26,35
46,24,31,38,31,20,31,20,27,20,20,27,31,31,27,20,20,20,30,20,20,31,27,30,20,20,31,27,20,30,38,38,20,20,20,20,20,20,24,30,20,20,20,27,20,21,24,23,24,23,23,26,23,21,23,30,31,31,26,31,24,34,26,23,31,28,28,23,23,31,21,26,28,28,23,38,23,26,27,31,21,24,24,21,27,34,38,31,23,30,23,26,31,28,23,23,21,31,23,23,35
47,34,20,27,34,20,30,34,20,27,20,20,31,38,31,24,20,30,24,26,30,30,20,38,34,20,20,38,30,26,26,38,30,30,31,26,27,38,31,31,31,20,20,31,20,26,23,24,28,21,38,38,21,24,30,23,28,31,23,30,21,21,21,30,24,23,21,34,27,31,23,21,26,31,23,38,31,23,30,34,31,21,21,24,21,27,21,21,23,23,21,23,30,28,23,23,26,31,31,31,43
48,31,31,20,38,27,20,20,20,38,38,20,26,26,27,26,31,31,20,31,20,27,20,20,20,38,26,38,30,31,20,31,38,38,27,20,27,20,38,20,30,30,27,26,20,23,28,23,23,38,31,31,26,31,31,30,38,28,23,23,31,31,31,34,21,38,31,31,23,24,38,24,21,34,28,28,28,23,31,23,30,28,31,26,24,23,27,23,30,23,34,23,31,27,38,23,21,23,23,26,36
49,31,20,20,34,26,20,31,26,34,20,20,26,31,26,20,26,20,27,38,31,26,20,20,26,31,20,26,20,31,20,34,38,38,30,20,38,26,31,27,31,27,26,20,31,26,28,23,26,23,23,23,24,24,23,23,38,26,26,34,28,26,21,34,24,26,31,23,23,21,34,34,31,23,23,38,24,21,23,34,24,24,24,31,23,38,31,23,31,30,28,21,26,28,31,23,23,23,21,23,40
50,31,26,34,30,34,24,30,20,30,38,30,38,31,20,20,20,38,20,31,26,20,20,38,20,20,31,31,27,30,34,38,31,31,27,20,31,20,38,30,31,30,26,26,34,28,24,28,27,38,23,23,21,31,31,31,31,24,23,24,21,38,31,28,38,26,23,23,31,24,26,23,30,28,38,31,31,38,24,23,23,30,31,30,23,38,23,23,30,23,23,28,26,21,38,38,23,23,24,34,47
51,30,30,20,30,31,27,38,20,31,20,31,30,26,31,20,27,20,20,38,31,26,31,38,26,34,24,31,30,31,31,20,20,20,31,27,20,20,26,26,20,34,30,20,26,28,21,38,30,31,26,24,28,24,31,38,38,28,23,26,23,26,26,23,21,23,30,30,28,31,23,28,26,31,24,23,23,38,26,21,26,34,38,26,26,24,24,23,24,23,31,26,24,21,21,23,27,23,30,28,40
52,34,20,20,30,34,20,34,30,38,30,20,38,26,20,26,30,27,20,31,24,20,34,31,27,20,31,34,38,30,38,38,30,34,20,20,31,30,26,30,20,34,20,20,20,23,21,23,30,28,23,23,26,30,31,23,24,26,23,30,38,31,34,28,26,34,28,23,23,28,28,24,24,28,21,26,24,30,31,31,24,24,28,24,34,28,26,23,26,26,24,28,26,31,30,28,31,23,28,38,43
53,31,30,20,20,27,31,20,20,20,26,34,20,24,20,20,31,24,26,38,31,26,30,20,34,30,30,20,20,38,20,20,38,24,31,20,20,20,20,31,20,24,30,38,20,23,23,26,31,23,24,26,23,30,26,28,23,27,23,23,38,24,24,23,24,28,31,24,23,21,21,23,38,23,23,21,26,23,27,27,26,31,27,31,31,31,31,28,24,23,23,23,31,23,26,23,21,23,24,26,40
54,26,27,31,38,26,38,20,30,20,31,20,31,31,20,20,30,26,24,31,38,24,27,26,31,20,26,26,30,38,20,27,38,24,30,26,31,31,30,31,20,34,24,27,20,23,30,28,21,34,30,28,34,26,24,23,26,24,30,26,21,26,30,23,28,26,38,23,23,21,23,23,21,21,31,38,24,23,24,21,31,24,26,21,24,24,30,23,23,23,28,23,26,23,38,38,23,23,28,24,35
55,20,20,20,26,27,24,20,26,30,26,31,20,38,24,31,27,20,20,31,26,31,34,31,27,30,31,20,31,26,24,31,30,30,20,27,34,20,31,20,24,24,26,30,20,23,31,28,27,26,30,23,27,24,21,30,23,27,38,24,24,21,26,28,21,21,24,28,23,26,24,38,23,23,23,31,31,23,26,31,31,24,21,23,31,21,21,28,21,21,24,30,24,31,23,23,34,38,21,21,40
56,20,20,24,31,20,20,26,31,24,24,30,38,20,31,31,20,24,20,27,38,30,31,38,26,38,31,31,20,20,20,38,27,30,38,31,20,20,26,20,24,20,24,20,30,31,28,23,24,38,23,23,26,30,21,28,23,23,23,23,27,31,31,28,23,27,26,26,23,23,28,23,38,24,28,23,23,31,26,24,26,23,27,23,30,26,23,27,23,23,23,38,26,31,23,23,23,23,26,24,47
57,31,26,31,26,20,27,31,31,24,30,20,31,20,26,27,38,27,20,38,20,38,26,30,26,31,24,30,31,26,20,20,24,38,30,24,26,24,38,34,27,20,30,24,31,28,26,34,31,31,30,26,28,21,30,24,23,24,26,27,26,21,23,28,23,23,23,23,27,23,24,31,28,21,23,28,23,23,31,26,28,31,26,21,23,23,23,26,30,23,28,23,31,23,23,23,23,31,23,26,35
58,27,30,20,26,24,20,26,27,20,26,20,30,38,26,20,26,34,26,20,26,26,38,30,26,31,31,26,31,20,26,24,27,30,30,31,27,20,31,27,31,34,38,26,20,28,31,23,28,28,28,24,34,24,23,21,26,28,28,27,38,21,23,28,30,31,28,38,38,26,21,26,23,24,23,21,28,21,28,31,24,26,24,31,28,38,31,23,23,28,21,28,23,27,24,23,28,38,26,23,35
59,24,20,38,26,27,20,20,30,38,30,31,31,38,31,24,20,31,20,26,27,20,26,31,20,31,24,38,30,26,24,30,27,24,26,24,24,30,30,20,26,20,20,30,31,21,31,21,31,23,30,27,28,23,24,28,26,31,31,31,23,21,26,28,26,21,26,23,23,26,23,27,23,34,38,31,21,23,26,21,23,24,24,28,38,21,21,31,31,38,28,31,24,30,26,31,21,38,26,24,35
60,20,27,31,38,26,20,24,26,31,26,24,38,38,24,31,20,34,30,26,20,27,30,24,38,38,20,31,24,31,20,31,20,38,34,26,34,30,31,26,24,30,31,20,24,23,27,31,34,23,23,23,28,21,23,30,23,31,26,31,26,23,23,23,23,28,21,23,23,24,26,31,23,21,30,31,31,30,26,24,27,24,23,27,26,31,26,23,30,23,31,31,23,30,23,28,27,38,21,28,39
61,20,20,24,20,20,20,20,26,20,38,24,20,20,30,27,38,20,24,31,26,20,24,30,31,31,24,34,34,31,38,38,38,26,26,30,20,30,30,31,31,20,27,38,20,23,21,28,23,28,23,23,24,23,28,23,23,31,38,31,21,21,28,26,23,31,21,23,23,30,21,31,38,30,23,21,31,21,31,21,30,30,28,31,26,21,26,23,31,34,23,23,38,28,30,23,27,21,24,21,35
62,24,30,31,20,31,34,20,24,30,30,31,38,38,20,30,20,31,20,20,31,24,31,24,20,38,31,31,26,30,20,38,34,20,24,30,20,24,20,31,30,30,20,20,24,28,28,28,26,23,28,28,27,21,26,23,23,26,23,26,21,26,23,23,28,26,24,28,30,26,28,26,23,31,31,26,23,26,24,21,28,24,26,31,24,26,23,21,28,23,24,28,26,26,23,31,34,26,31,21,33
63,20,26,24,20,30,20,31,38,38,20,31,20,27,20,20,38,34,31,27,20,24,26,24,20,30,30,38,20,34,20,20,24,20,30,20,26,20,30,20,24,26,20,27,20,26,30,38,21,30,31,23,38,31,31,23,23,30,21,24,21,28,31,31,26,28,23,38,23,34,23,31,24,31,30,28,31,34,26,21,27,31,38,24,21,26,28,23,31,23,26,23,38,26,28,31,23,28,21,24,47
64,20,31,34,30,26,20,20,20,34,38,27,38,31,20,24,20,20,34,31,30,20,26,31,31,30,31,38,30,38,20,38,20,20,38,24,31,24,30,20,38,26,20,20,20,23,38,21,31,26,38,23,26,31,31,27,28,31,30,26,23,24,23,26,24,34,31,23,23,26,23,26,26,31,23,23,28,21,28,31,31,23,24,31,26,24,24,31,30,23,26,21,26,24,28,38,24,26,27,23,40
65,26,31,20,20,27,20,24,38,27,38,20,38,26,20,20,26,24,31,26,38,38,38,38,26,38,20,31,38,34,20,20,31,26,20,38,26,31,30,34,20,20,30,20,20,23,31,23,21,30,21,38,23,21,34,38,28,30,38,23,23,21,23,30,24,31,23,28,23,28,23,23,23,34,28,31,24,31,21,30,23,38,24,23,21,31,23,23,27,31,23,23,21,21,23,21,21,23,30,23,35
66,34,20,20,20,20,20,20,20,20,20,31,20,38,20,31,30,31,20,26,20,26,31,20,26,31,31,38,20,27,34,20,34,26,24,27,30,20,38,20,34,24,30,30,20,21,27,21,21,30,26,30,24,38,23,23,26,23,38,31,23,31,23,23,31,23,28,23,30,21,30,27,31,23,28,23,24,23,38,31,24,21,26,21,26,34,23,31,26,23,31,31,24,23,21,38,34,28,23,30,35
